                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.50684,                0.37105,                0.88084,                0.97356,                0.96154,                 0.9678,                0.81775,                 1.0028,                0.50239,                0.91972,             0.00033158,             0.00033158,             0.00033158
                    140,                0.50542,                0.36342,                0.88098,                0.98699,                0.96154,                 0.9691,                0.81132,                 1.2888,                0.62505,                 1.0182,             0.00033068,             0.00033068,             0.00033068
                    141,                0.49379,                0.36787,                 0.8906,                0.99236,                0.96154,                 0.9691,                 0.8073,                 1.3496,                0.69065,                 1.0631,             0.00032977,             0.00032977,             0.00032977
                    142,                0.49121,                0.34885,                 0.8697,                0.99277,                0.96154,                0.96485,                0.81595,                 1.0169,                0.51685,                0.89198,             0.00032887,             0.00032887,             0.00032887
                    143,                0.48773,                0.34681,                0.87635,                0.98556,                0.95977,                0.96705,                 0.8215,                 1.0703,                0.56402,                0.88676,             0.00032797,             0.00032797,             0.00032797
                    144,                0.51006,                0.36705,                0.88404,                0.99076,                0.96154,                0.98844,                0.83555,                 1.0751,                0.46578,                0.92021,             0.00032707,             0.00032707,             0.00032707
                    145,                0.49988,                0.36709,                0.87691,                 0.9865,                0.96154,                 0.9684,                0.82238,                 1.0657,                0.39573,                0.92871,             0.00032617,             0.00032617,             0.00032617
                    146,                 0.4913,                 0.3521,                0.87155,                 0.9875,                0.96134,                 0.9723,                0.80963,                0.99847,                0.39238,                0.94159,             0.00032527,             0.00032527,             0.00032527
                    147,                0.48044,                0.35617,                0.87615,                0.98938,                0.95956,                0.97685,                0.82998,                0.89161,                0.43462,                0.88533,             0.00032437,             0.00032437,             0.00032437
                    148,                0.50042,                0.35603,                0.87124,                0.99045,                0.96154,                0.97149,                0.84684,                0.93832,                0.44684,                0.86878,             0.00032347,             0.00032347,             0.00032347
                    149,                0.50155,                0.34523,                0.87792,                0.99162,                0.96154,                0.97149,                 0.8076,                0.99331,                0.50391,                0.88745,             0.00032257,             0.00032257,             0.00032257
                    150,                0.47922,                0.34269,                0.87051,                0.98971,                0.96154,                0.98167,                0.82017,                0.95805,                0.53488,                0.87302,             0.00032167,             0.00032167,             0.00032167
